,customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date,month,year,difference_between_last_purchase_signup,Days since last purchase,purchase_group_by_monthsname
1,2,69.0,50200.0,252.2146926448812,Male,North,27.0,Toys,14.402035805169955,2022-03-14,2022-07-03,3,2022,111,-1214,2022-07
4,5,60.0,112300.0,1528.118234903052,Female,West,6.0,Clothing,28.89378505717169,2021-04-21,2021-06-02,4,2021,42,-1610,2021-06
7,8,38.0,81000.0,1970.645619079536,Male,East,8.0,Clothing,70.9528063576598,2021-06-26,2022-12-21,6,2021,543,-1043,2022-12
8,9,56.0,114300.0,1540.650761920155,Female,East,9.0,Clothing,61.2402908102972,2022-11-05,2023-05-30,11,2022,206,-883,2023-05
9,10,75.0,83600.0,880.0357663196111,Female,West,15.0,Toys,95.11081820826126,2022-07-05,2022-11-13,7,2022,131,-1081,2022-11
10,11,36.0,56300.0,903.9550051571664,Male,North,36.0,Toys,81.77778839716281,2022-06-22,2023-02-08,6,2022,231,-994,2023-02
15,16,70.0,103600.0,66.59433893991556,Female,West,47.0,Health,43.90530399513951,2021-04-08,2023-05-21,4,2021,773,-892,2023-05
18,19,41.0,114500.0,275.76540158135856,Female,East,19.0,Toys,52.78742078895624,2021-06-19,2021-12-22,6,2021,186,-1407,2021-12
19,20,20.0,64900.0,217.1020953613748,Male,North,39.0,Health,59.42535671999188,2021-02-25,2022-07-25,2,2021,515,-1192,2022-07
20,21,39.0,30200.0,1214.3204879170416,Female,West,6.0,Toys,56.87856826541749,2021-11-21,2022-07-27,11,2021,248,-1190,2022-07
21,22,70.0,68400.0,1056.7290833621712,Male,South,19.0,Health,11.654836343355402,2022-10-20,2023-03-28,10,2022,159,-946,2023-03
22,23,19.0,29900.0,522.0965516528111,Female,West,28.0,Health,56.99873195387431,2021-09-17,2023-12-30,9,2021,834,-669,2023-12
24,25,61.0,84100.0,994.6199840611685,Female,North,42.0,Electronics,66.3714165451469,2022-07-16,2023-02-22,7,2022,221,-980,2023-02
25,26,47.0,78000.0,406.1177812684593,Female,East,19.0,Clothing,42.93839966655334,2021-12-06,2023-06-28,12,2021,569,-854,2023-06
26,27,55.0,48200.0,1311.1442625256682,Female,East,31.0,Clothing,84.87885877391554,2022-02-08,2023-08-02,2,2022,540,-819,2023-08
29,30,38.0,96300.0,1212.890264792841,Male,East,10.0,Clothing,70.07370993343022,2022-06-22,2022-09-29,6,2022,99,-1126,2022-09
31,32,29.0,67300.0,140.7941431506819,Male,West,23.0,Electronics,6.111357612834434,2021-01-10,2022-06-15,1,2021,521,-1232,2022-06
36,37,42.0,43900.0,320.51531150518207,Female,West,43.0,Clothing,92.90709148417106,2022-12-15,2023-12-04,12,2022,354,-695,2023-12
37,38,66.0,37700.0,1781.3617042943745,Male,North,20.0,Electronics,24.94512669524324,2021-12-10,2022-06-08,12,2021,180,-1239,2022-06
39,40,76.0,55200.0,1536.3414976851216,Male,West,22.0,Electronics,96.30407827356228,2022-01-08,2022-01-30,1,2022,22,-1368,2022-01
41,42,45.0,116800.0,22.66561649399613,Male,South,39.0,Toys,1.4086412162869988,2021-02-15,2023-08-12,2,2021,908,-809,2023-08
42,43,77.0,111100.0,768.6395241791525,Male,South,10.0,Toys,90.6107599861874,2022-12-30,2023-02-02,12,2022,34,-1000,2023-02
43,44,33.0,97400.0,303.92283262156724,Male,South,21.0,Clothing,22.664729883307032,2021-02-24,2022-03-19,2,2021,388,-1320,2022-03
44,45,32.0,71000.0,56.40456146016263,Female,West,29.0,Health,70.59325391660634,2021-03-19,2023-08-25,3,2021,889,-796,2023-08
50,51,61.0,98100.0,517.1386052570322,Male,South,23.0,Health,65.19126067329519,2021-04-21,2023-09-07,4,2021,869,-783,2023-09
51,52,72.0,81600.0,1307.841992671251,Male,North,31.0,Health,29.057922890466227,2021-01-15,2022-04-07,1,2021,447,-1301,2022-04
52,53,69.0,106300.0,440.4212690880447,Female,West,4.0,Toys,97.39502076577608,2021-03-19,2022-12-10,3,2021,631,-1054,2022-12
56,57,68.0,55000.0,1993.880252806924,Male,West,2.0,Clothing,30.615929246613128,2021-10-02,2022-07-05,10,2021,276,-1212,2022-07
57,58,24.0,105700.0,383.235754277454,Male,West,4.0,Electronics,14.85874276214022,2022-05-09,2023-07-25,5,2022,442,-827,2023-07
59,60,26.0,26000.0,834.5216513969269,Male,East,15.0,Health,96.4222278087278,2022-01-11,2023-09-05,1,2022,602,-785,2023-09
60,61,56.0,107600.0,270.24511636322086,Male,West,33.0,Clothing,41.143057638713,2021-03-04,2022-10-23,3,2021,598,-1102,2022-10
61,62,35.0,37200.0,75.13093700327852,Female,South,6.0,Electronics,34.73337657310635,2021-12-27,2023-06-22,12,2021,542,-860,2023-06
65,66,31.0,89600.0,975.7726766923304,Female,South,1.0,Electronics,84.96746181346077,2021-07-13,2023-02-09,7,2021,576,-993,2023-02
69,70,43.0,115500.0,995.346030339192,Female,North,26.0,Toys,96.63334338056436,2021-10-28,2023-02-07,10,2021,467,-995,2023-02
